timestamp,load
2024-01-01 00:00,120.5
2024-01-01 01:00,118.2
2024-01-01 02:00,115.0
2024-01-01 03:00,112.4
2024-01-01 04:00,110.8
2024-01-01 05:00,113.5
2024-01-01 06:00,120.1
2024-01-01 07:00,135.2
2024-01-01 08:00,150.5
2024-01-01 09:00,165.0
2024-01-01 10:00,172.5
2024-01-01 11:00,175.0
2024-01-01 12:00,178.2
2024-01-01 13:00,176.5
2024-01-01 14:00,175.0
2024-01-01 15:00,170.0
2024-01-01 16:00,168.0
2024-01-01 17:00,175.0
2024-01-01 18:00,185.0
2024-01-01 19:00,190.0
2024-01-01 20:00,188.0
2024-01-01 21:00,180.0
2024-01-01 22:00,165.0
2024-01-01 23:00,140.0
2024-01-02 00:00,125.0
2024-01-02 01:00,118.0
2024-01-02 02:00,114.0
2024-01-02 03:00,111.0
2024-01-02 04:00,110.0
2024-01-02 05:00,114.0
2024-01-02 06:00,122.0
2024-01-02 07:00,138.0
2024-01-02 08:00,155.0
2024-01-02 09:00,168.0
2024-01-02 10:00,175.0
2024-01-02 11:00,178.0
2024-01-02 12:00,180.0
2024-01-02 13:00,179.0
2024-01-02 14:00,176.0
2024-01-02 15:00,172.0
2024-01-02 16:00,170.0
2024-01-02 17:00,178.0
2024-01-02 18:00,188.0
2024-01-02 19:00,192.0
2024-01-02 20:00,190.0
2024-01-02 21:00,182.0
2024-01-02 22:00,168.0
2024-01-02 23:00,145.0
